Designator,Mid X,Mid Y,Rotation,Layer
C1,113.4785,-141.0738,270.0,top
C3,117.55,-130.3375,270.0,top
D1,119.6285,-143.1738,0.0,top
D2,113.5785,-136.2738,90.0,top
D3,119.5285,-139.6238,0.0,top
F1,135.5,-129.0,270.0,top
J2,116.1,-123.145,0.0,top
Q1,126.05,-141.5625,270.0,top
Q2,113.35,-131.4,180.0,top
Q3,129.5625,-121.75,180.0,top
Q4,126.1785,-136.4238,90.0,top
R1,108.4935,-135.1738,0.0,top
R2,116.2785,-137.3238,270.0,top
R3,120.2,-130.35,90.0,top
R4,108.4435,-132.6238,0.0,top
R5,127.35,-126.125,90.0,top
R6,116.2785,-141.7738,90.0,top
U1,108.6785,-140.2238,0.0,top
