Designator,Mid X,Mid Y,Rotation,Layer
C1,95.5,-63.5375,270.0,top
D1,119.981526,-50.739913,0.0,top
D2,116.981526,-49.739913,90.0,top
D3,110.218474,-50.160087,0.0,top
D4,107.218474,-49.160087,90.0,top
D5,96.5,-48.5,90.0,top
D6,99.5,-49.5,0.0,top
J1,89.58,-57.0,270.0,top
K1,121.7,-57.3,0.0,top
K2,112.0,-56.5,0.0,top
K3,101.2,-55.8,0.0,top
Q1,122.981526,-47.739913,180.0,top
Q2,102.5,-46.5,180.0,top
Q3,99.9375,-43.05,180.0,top
Q4,110.95625,-68.5,0.0,top
Q5,102.5625,-67.55,0.0,top
Q6,113.280974,-47.160087,180.0,top
Q7,118.0625,-71.45,0.0,top
Q8,109.9375,-75.45,180.0,top
R1,110.218474,-45.160087,90.0,top
R10,119.5,-77.5,270.0,top
R2,103.0,-42.5,90.0,top
R3,95.0,-73.5,270.0,top
R4,106.5,-43.0,90.0,top
R6,107.96875,-67.5625,270.0,top
R7,114.0,-72.5,270.0,top
