"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R28,R20,R18,R5,R15";"R_0603_1608Metric";5;"10k";;;
2;"D1,D3";"D_SOD-523";2;"PESD15VS1UB";;;
3;"C3,C5,C7,C9,C4";"C_0603_1608Metric";5;"100nF";;;
4;"Q2,Q4,Q1";"SOT-23";3;"AO3400A";;;
5;"Q3,Q5";"SOT-23";2;"AO3401A";;;
6;"R17,R27,R22";"R_0603_1608Metric";3;"47";;;
7;"R11,R6";"R_0603_1608Metric";2;"25k";;;
8;"CL2,CL1";"C_1210_3225Metric";2;"ECPU1C105MA5";;;
9;"C2";"C_0805_2012Metric";1;"0.47uF";;;
10;"R14";"R_0603_1608Metric";1;"47k";;;
11;"D2,D4";"SOT-23";2;"MMBZxx";;;
12;"R7,R8,R1,R10,R3,R2,R9,R4";"R_1206_3216Metric";8;"210k";;;
13;"R24,R25";"R_0603_1608Metric";2;"1k";;;
14;"U2,U5";"DIP794W45P254L959H508Q8";2;"LM331";;;
15;"C10";"C_0603_1608Metric";1;"4.7uF";;;
16;"RT2,RT1";"R_0603_1608Metric";2;"0603WAF6801T5E";;;
17;"R23,R19";"R_0603_1608Metric";2;"12k";;;
18;"R12,R13";"R_0603_1608Metric";2;"4.7k";;;
19;"D6";"D_SOD-323";1;"BZT52C10S";;;
20;"C8,C6";"C_0603_1608Metric";2;"20pF";;;
21;"RL1,RL2";"R_0603_1608Metric";2;"RC0603FR-07100KL";;;
22;"R21,R16";"R_0603_1608Metric";2;"100k";;;
23;"C14,C15";"C_1206_3216Metric";2;"10uF";;;
24;"CT1,CT2";"C_0603_1608Metric";2;"C1608C0G1H103JT000N";;;
25;"RS2,RS1";"R_0603_1608Metric";2;"0603WAF1202T5E";;;
26;"U8";"TO-252-2";1;"UA78M33QDCYRQ1";;;
27;"U7";"TSSOP-20_4.4x6.5mm_P0.65mm";1;"STM32C011F6P6";;;
28;"F7";"Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"BORN SMD1206-050/30N";;;
29;"X1";"OSCCC500X320X135";1;"X50328MSB2GI";;;
30;"U4,U1";"IC_H11L1SM";2;"H11L1";;;
31;"C1";"C_0805_2012Metric";1;"22uF";;;
