Comment,Designator,Footprint,,
PESD15VS1UB,"D1,D3",D_SOD-523,,
100nF,"C3,C5,C7,C9,C4",C_0603_1608Metric,,
AO3400A,"Q2,Q4,Q1,Q6",SOT-23,,
10k,"R20,R18,R5,R26,R30,R15",R_0603_1608Metric,,
AO3401A,"Q3,Q5",SOT-23,,
47,"R17,R27,R22",R_0603_1608Metric,,
27k,"R11,R6",R_0603_1608Metric,,
ECPU1C105MA5,"CL2,CL1",C_1210_3225Metric,,
0.47uF,C2,C_0805_2012Metric,,
47k,R14,R_0603_1608Metric,,
MMBZxx,"D2,D4",SOT-23,,
210k,"R7,R8,R1,R10,R3,R2,R9,R4",R_1206_3216Metric,,
1k,"R24,R25",R_0603_1608Metric,,
LM331,"U2,U5",DIP794W45P254L959H508Q8,,
4.7uF,C10,C_0603_1608Metric,,
0603WAF6801T5E,"RT2,RT1",R_0603_1608Metric,,
12k,"R23,R19",R_0603_1608Metric,,
220k,"R32,R31",R_0603_1608Metric,,
4.7k,"R12,R13",R_0603_1608Metric,,
BZT52C10S,D6,D_SOD-323,,
20pF,"C8,C6",C_0603_1608Metric,,
RC0603FR-07100KL,"RL1,RL2",R_0603_1608Metric,,
100k,"R21,R16",R_0603_1608Metric,,
10uF,"C14,C15",C_1206_3216Metric,,
C1608C0G1H103JT000N,"CT1,CT2",C_0603_1608Metric,,
0603WAF1202T5E,"RS2,RS1",R_0603_1608Metric,,
UA78M33QDCYRQ1,U8,TO-252-2,,
STM32C011F6P6,U7,TSSOP-20_4.4x6.5mm_P0.65mm,,
BORN SMD1206-050/30N,F7,Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder,,
X50328MSB2GI,X1,OSCCC500X320X135,,
H11L1SM,"U4,U1",IC_H11L1SM,,
22uF,C1,C_0805_2012Metric,,
