Designator,Mid X,Mid Y,Rotation,Layer
C1,86.91,-31.755,180.0,top
C10,108.0,-49.5,180.0,top
C11,108.203455,-45.283798,180.0,top
C14,86.39375,-48.2625,270.0,top
C15,89.91,-44.2,0.0,top
C16,56.6,-63.0,180.0,top
C17,56.5,-43.0,180.0,top
C2,70.0,-31.85,180.0,top
C3,73.24375,-62.4,0.0,top
C4,71.24375,-43.85,0.0,top
C5,57.538554,-40.1425,270.0,top
C6,101.81875,-53.555,0.0,top
C7,57.556054,-60.32,270.0,top
C8,98.43875,-53.535,180.0,top
C9,108.0,-47.5,0.0,top
CT1,57.731054,-55.0325,270.0,top
CT2,57.713554,-34.9675,270.0,top
D2,102.99375,-36.0,90.0,top
D3,73.7,-31.9,180.0,top
D4,113.0,-36.1375,270.0,top
D5,95.289521,-36.544804,90.0,top
D6,94.34375,-43.95,180.0,top
F7,92.5,-37.0,90.0,top
Q2,101.5,-39.0,270.0,top
Q3,113.0,-40.3125,270.0,top
Q4,105.69375,-38.8875,270.0,top
Q5,94.44375,-40.7625,270.0,top
R1,59.116054,-26.15,0.0,top
R10,59.943554,-50.8225,180.0,top
R11,53.428409,-55.006802,180.0,top
R12,73.503554,-34.9725,0.0,top
R13,73.693554,-54.55,0.0,top
R14,91.54375,-41.325,90.0,top
R15,74.5,-38.0225,90.0,top
R16,53.754075,-36.852258,270.0,top
R17,70.988554,-38.7425,90.0,top
R18,113.0,-46.55,180.0,top
R19,113.0,-44.99,0.0,top
R2,64.253554,-26.15,0.0,top
R20,75.0,-58.55,90.0,top
R21,54.24375,-58.85,270.0,top
R22,71.103554,-58.3,90.0,top
R23,89.5,-34.5,90.0,top
R24,89.24375,-39.35,270.0,top
R25,89.3,-59.135,270.0,top
R26,110.5,-47.5,270.0,top
R27,98.0,-36.025,90.0,top
R29,108.25,-41.784789,0.0,top
R3,64.21375,-30.5,180.0,top
R30,109.0,-40.0,180.0,top
R31,108.25,-43.5,180.0,top
R32,100.0,-36.0,270.0,top
R4,59.16375,-30.5,180.0,top
R5,113.0,-43.38,180.0,top
R6,53.0,-33.85,180.0,top
R7,60.081054,-46.5225,0.0,top
R8,65.306054,-46.5225,0.0,top
R9,65.206054,-50.8225,180.0,top
RL1,69.273554,-61.6425,90.0,top
RL2,70.213554,-41.1425,0.0,top
RS1,69.233554,-58.3,270.0,top
RS2,69.363554,-38.7175,270.0,top
RT1,56.056054,-55.0325,270.0,top
RT2,55.8,-34.95,270.0,top
U1,82.0,-37.63,270.0,top
U2,63.338554,-38.1925,90.0,top
U4,81.9025,-58.9875,270.0,top
U5,63.361054,-58.6125,90.0,top
U7,102.0,-44.775,90.0,top
U8,91.94375,-49.95,90.0,top
X1,100.14875,-50.605,0.0,top
