Designator,Footprint,Quantity,Value,LCSC Part #
C1,C_0402,1,4.7uF,C23733
"C10, C55, C67",C_0603,3,10uF,C96446
C11,C_0603,1,4.7nF,C53987
"C12, C58, C61, C68, C70, C73, C75",C_0603,7,100nF,C14663
"C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C28, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C40, C41, C8",C_0603,26,470nF,C1623
"C2, C4, C5",C_0402,3,1uF,C52923
C25,C0603,1,CC0603KRX7R0BB103,C107059
"C26, C27",C_0603,2,2.2uF,C23630
"C29, C3, C42, C62, C63, C64",C_0402,6,100nF,
"C43, C44, C48, C49, C53, C54, C56, C57",C_0603,8,220pF,C1603
"C45, C46",C1206,2,1206B222K102NT,C9191
C50,C_0603,1,100pF,C14858
"C59, C60, C77",C_0603,3,220nF,C21120
"C6, C78",C_0402,2,100nF,C1525
C65,C_0603,1,4.7uF,C19666
C66,C_0603,1,1uF,C15849
C69,C_0805,1,22uF,C45783
C7,C_0402,1,2.2uF,C12530
"C71, C9",C_0402,2,20pF,
"C74, C76",C_0603,2,33nF,C21117
CN1,CONN-TH_15246180,1,15246180,C586535
D10,SOT-23-3_L2.9-W1.3-P1.90-LS2.3-BR,1,ESD2CANFD24DBZRQ1,C20345392
D2,SMD-6_L7.6-W6.9-P2.54-LS8.9-BL,1,SM91502ALE,C915690
"D3, D4, D5, D7",SOT-23_L2.9-W1.3-P1.90-LS2.4-BR,4,"PESD1CAN,215",C15771
D6,D_0603,1,Red,C2286
D8,D_0603,1,Yellow,C89811
D9,D_SOD-323,1,BZT52C10S,C19077446
F1,0603,1,Fuse,
"H1, H2, H4, H5",HDR-TH_2P-P2.54-V-M,4,PZ254V-11-02P,C492401
H3,HDR-TH_5P-P2.54-V-M,1,PZ254V-11-05P,C492404
J1,PinHeader_1x04_P2.00mm_Vertical,1,Conn_01x04_Pin,
J4,PinHeader_1x03_P2.00mm_Vertical,1,Conn_01x03_Pin,
J5,PinHeader_1x02_P2.00mm_Vertical,1,Conn_01x02_Pin,
J6,PinHeader_1x08_P2.00mm_Vertical,1,Conn_01x08_Pin,
"L1, L3, L4",FILTER-SMD_4P-L4.5-W3.2-TL_ACT45B,3,ACT45B-101-2P-TL003,C88056
L5,IND_BOURNS_SRR1240,1,SRR1206-120ML,
L6,FILTER-SMD_4P-L3.9-W2.5-BL,1,ACT1210-101-2P-TL00,C529452
Q1,SOT-89-3_L4.5-W2.5-P1.50-LS4.1-TL-CW,1,"BCX56-16,115",C100026
Q2,SOT-23,1,AO3401A,
"Q3, Q4, Q5",SOT-23,3,AO3400A,
R1,R_0805,1,1kΩ,C17513
"R10, R11, R12, R13, R14, R15, R16, R17, R2, R6, R7, R8, R9",R_0603,13,100Ω,C22775
R18,R_0603,1,0Ω,C21189
"R19, R3",R_0603,2,13kΩ,C22797
"R20, R22, R23, R24, R25, R26, R27, R28, R29, R30, R31, R32, R33",R1210,13,RTT12100JTP,C104957
R21,R_0603,1,9.1kΩ,C23260
R34,R_0402,1,47kΩ,
"R35, R38, R45, R48, R69, R72, R73, R74, R75, R76",R_0603,10,1kΩ,C21190
"R36, R37, R39, R40, R46, R47, R49, R50",R_0603,8,49.9Ω,C23185
"R4, R5",R0603,2,0603WAF604JT5E,C23090
"R41, R42, R43, R44, R55, R56, R57, R58",R_0603,8,10kΩ,C25804
"R51, R52",R_0603,2,100kΩ,C25803
R54,R_0603,1,10Ω,C22859
R59,R_0402,1,2.2kΩ,
R60,R_0402,1,10kΩ,
"R61, R63, R65",R_0603,3,3kΩ,C4211
"R62, R64",R_0603,2,2kΩ,C22975
"R66, R71",R_0402,2,2kΩ,
"R67, R70",R_0603,2,6.2kΩ,C4260
R68,R_0402,1,1kΩ,
S1,SW_TS-1088-AR02016,1,"Tactile Button, 160gf",C720477
"TP1, TP2, TP3, TP4",TestPoint_Pad_D1.0mm,4,TestPoint_Small,
U1,HTQFP-64_L10.0-W10.0-P0.50-LS12.0-BL-EP5.9,1,BQ79616PAPRQ1,
U2,SOT-583-8,1,TPS563300,
U3,SOIC_9600PWQ1_TEX,1,PBQ79600PWQ1,
U4,SOT-223-3_TabPin2,1,AMS1117-3.3,
U5,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,1,SN65HVD230DR,C12084
U6,LQFP-64_10x10mm_P0.5mm,1,STM32F405RGTx,
X1,CRYSTAL-SMD_L5.0-W3.2,1,X50328MSB2GI,C115962
