Designator,Mid X,Mid Y,Rotation,Layer
C1,83.09,-66.55,270,top
C10,135.45,-107.3,270,top
C11,150.35515,-68.590025,90,top
C12,142.77,-73.07,180,top
C18,76.3,-77.37,0,top
C19,79.6,-77.35,0,top
C2,83,-71.79,180,top
C21,74.7,-78.87,0,top
C22,77.92,-78.87,0,top
C23,82,-76.75,90,top
C24,68.01,-64.81,90,top
C25,66.9,-61.77,0,bottom
C26,137.76,-82.7,0,top
C27,140.7,-69.54,90,top
C28,66.22,-70.53,270,bottom
C29,128.9,-84.1775,180,top
C3,136.44,-101.8,0,top
C30,66.23,-73.7,270,bottom
C31,71.06,-80.04,180,bottom
C32,64.54,-72.09,270,bottom
C33,66.22,-77.85,225,bottom
C34,74.06,-80.04,180,bottom
C35,77.06,-80.04,180,bottom
C36,80.06,-80.04,180,bottom
C37,81.295,-74.4,90,bottom
C38,72.56,-78.54,180,bottom
C39,75.56,-78.54,180,bottom
C4,83.03,-70.92,180,top
C40,78.56,-78.54,180,bottom
C41,81.56,-78.54,180,bottom
C42,128.295,-68.6,90,top
C43,88.4,-64.4,90,top
C44,88.4,-67.68,270,top
C45,94.73,-60.97,0,top
C46,94.68,-67.63,0,top
C47,98.54,-64.35,90,top
C48,88.47,-73.85,270,top
C49,88.41,-70.54,90,top
C5,77.8,-61.725,270,top
C50,98.36,-74.75,270,top
C51,94.71,-70.71,0,top
C52,94.485,-77.565,0,top
C53,117.98,-97.46,90,top
C54,118,-94.23,270,top
C55,135.97,-99.05,180,top
C56,117.97,-90.99,90,top
C57,117.97,-87.74,270,top
C58,137.05,-107.3,270,top
C59,120.65,-97.73,270,top
C6,82.7,-64.975,180,top
C60,127.69725,-97.25,180,top
C61,123.94725,-98,90,top
C62,124.34,-76.64,90,top
C63,139.125,-69.4875,90,top
C64,138.85,-80.88,0,top
C65,129.09,-82.65,180,top
C66,125.68,-76.5,90,top
C67,135.97,-97.3,180,top
C68,135.97,-95.55,180,top
C69,148.25,-91.8,270,top
C7,79.27,-62.3,0,top
C70,122.27,-64.4,180,top
C71,120.72,-72.38,0,top
C72,88.875,-83.945,270,top
C73,123.56,-79.31,90,top
C74,125.31,-79.31,90,top
C75,125.31,-82.59,270,top
C76,123.56,-82.59,270,top
C77,70.33,-61.78,0,bottom
C78,84.13,-66.55,270,top
C79,64.58,-68.81,270,bottom
C8,83.5,-74.2,90,top
