Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",180.962500,-92.700000,0.000000,top
"C3","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",177.575000,-86.250000,-90.000000,top
"C4","100uF","CP_Elec_6.3x5.4",176.000000,-100.100000,180.000000,top
"D1","1N4148WT","D_SOD-523",123.507500,-79.780000,180.000000,top
"D3","BZT52C51","D_SOD-123F",118.210000,-91.180000,90.000000,top
"D4","PESD12VL1BA","D_SOD-323",124.660000,-77.450000,180.000000,top
"F1","750mA","FUSE_BK_PCS",111.280000,-93.060000,0.000000,top
"F2","750mA","FUSE_BK_PCS",111.280000,-87.720000,180.000000,top
"HV+","043045-0212","Molex_Micro-Fit_3.0_43045-0212_2x01_P3.00mm_Vertical",117.550000,-98.460000,0.000000,top
"HV-","043045-0212","Molex_Micro-Fit_3.0_43045-0212_2x01_P3.00mm_Vertical",117.500000,-82.620000,180.000000,top
"J1","043045-0412","Molex_Micro-Fit_3.0_43045-0412_2x02_P3.00mm_Vertical",166.655000,-83.475000,90.000000,top
"Q2","AO3401A","SOT-23",176.692500,-81.920000,-90.000000,top
"Q3","UJ3N065080K3S","TO-247-3_Horizontal_TabDown",124.550000,-84.350000,-90.000000,top
"Q4","AO3401A","SOT-23",167.475000,-90.925000,90.000000,top
"R1","2k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",166.000000,-98.500000,180.000000,top
"R4","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",180.925000,-87.000000,0.000000,top
"R5","100","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",170.550000,-95.150000,0.000000,top
"R6","5.6k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",128.370000,-77.390000,0.000000,top
"R7","3k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",181.025000,-90.050000,180.000000,top
"R8","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",166.000000,-96.000000,0.000000,top
"U1","H11L1M","DIP-6_W7.62mm",154.828200,-93.167900,0.000000,top
"U2","NE555D","SOIC-8_3.9x4.9mm_P1.27mm",174.150000,-90.925000,0.000000,top
