"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"HV+,HV-";"Molex_Micro-Fit_3.0_43045-0212_2x01_P3.00mm_Vertical";2;"043045-0212";;;
2;"C4";"CP_Elec_6.3x5.4";1;"100uF";;;
3;"D1";"D_SOD-523";1;"1N4148WT";;;
4;"D3";"D_SOD-123F";1;"BZT52C51";;;
5;"F2,F1";"FUSE_BK_PCS";2;"750mA";;;
6;"C3";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"1uF";;;
7;"R1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"2k";;;
8;"C1";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"0.1uF";;;
9;"Q4,Q2";"SOT-23";2;"AO3401A";;;
10;"R8,R4";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"1k";;;
11;"J1";"Molex_Micro-Fit_3.0_43045-0412_2x02_P3.00mm_Vertical";1;"043045-0412";;;
12;"R5";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"100";;;
13;"U1";"DIP-6_W7.62mm";1;"H11L1M";;;
14;"U2";"SOIC-8_3.9x4.9mm_P1.27mm";1;"NE555D";;;
15;"R7";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"3k";;;
16;"Q3";"TO-247-3_Horizontal_TabDown";1;"UJ3N065080K3S";;;
17;"D4";"D_SOD-323";1;"PESD12VL1BA";;;
18;"R6";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"5.6k";;;
