Designator,Mid X,Mid Y,Rot,Side
C1,180.962500,-92.700000,0.000000,T
C3,177.575000,-86.250000,-90.000000,T
C4,176.000000,-100.100000,180.000000,T
D1,123.507500,-79.780000,180.000000,T
D3,118.210000,-91.180000,90.000000,T
D4,124.660000,-77.450000,180.000000,T
F1,111.280000,-93.060000,0.000000,T
F2,111.280000,-87.720000,180.000000,T
HV+,117.550000,-98.460000,0.000000,T
HV-,117.500000,-82.620000,180.000000,T
J1,166.655000,-83.475000,90.000000,T
Q2,176.692500,-81.920000,-90.000000,T
Q4,167.475000,-90.925000,90.000000,T
R1,166.000000,-98.500000,180.000000,T
R4,180.925000,-87.000000,0.000000,T
R5,170.550000,-95.150000,0.000000,T
R6,128.370000,-77.390000,0.000000,T
R7,181.025000,-90.050000,180.000000,T
R8,166.000000,-96.000000,0.000000,T
U1,154.828200,-93.167900,0.000000,T
U2,174.150000,-90.925000,0.000000,T
