Designator,Mid X,Mid Y,Rotation,Side
3V1,109.797500,-101.031250,0.000000,T
C1,99.597500,-94.885000,-90.000000,T
C2,91.377500,-94.825000,-90.000000,T
C6,89.640000,-76.150000,0.000000,T
C7,89.640000,-75.140000,180.000000,T
D1,95.180000,-41.320000,-90.000000,T
D2,95.000000,-46.740000,-90.000000,T
D3,94.940000,-57.100000,-90.000000,T
D4,94.920000,-51.460000,90.000000,T
D5,94.700000,-66.460000,90.000000,T
D6,94.700000,-71.060000,-90.000000,T
D7,83.070000,-73.670000,-90.000000,T
D8,128.990000,-54.440000,180,T
D10,94.730000,-81.000000,-90.000000,T
D11,94.730000,-76.797500,90.000000,T
D13,124.410000,-47.160000,90.000000,T
D14,124.390000,-61.632500,90.000000,T
D15,124.430000,-74.132500,90.000000,T
D16,124.210000,-88.610000,90.000000,T
D17,101.630000,-97.770000,0.000000,T
F1,80.920000,-73.910000,-90.000000,T
GLV1,114.580000,-101.070000,0.000000,T
K4,108.910000,-71.360000,0.000000,T
K5,108.990000,-57.250000,0.000000,T
K6,108.900000,-43.210000,0.000000,T
K7,108.990000,-85.440000,0.000000,T
Q1,127.500000,-47.192500,0,T
Q2,91.552500,-71.530000,90,T
Q3,91.940000,-47.570000,180,T
Q4,91.950000,-43.110000,-90,T
Q5,81.452500,-79.615000,90,T
Q6,102.290000,-94.392500,0,T
Q8,84.712500,-82.460000,0,T
Q9,127.540000,-61.672500,0,T
Q10,127.580000,-74.152500,0,T
Q11,127.312500,-88.620000,0,T
Q12,80.937500,-83.820000,-90,T
R1,102.250000,-99.750000,180.000000,T
R2,84.770000,-78.100000,180.000000,T
R3,84.920000,-74.680000,90.000000,T
R4,87.205000,-75.410000,0.000000,T
R5,124.610000,-50.740000,-90.000000,T
R6,122.340000,-47.140000,-90.000000,T
R7,127.650000,-77.020000,180.000000,T
R8,126.390000,-50.750000,90.000000,T
R9,127.660000,-78.650000,0.000000,T
R10,122.420000,-61.880000,-90.000000,T
R11,122.470000,-74.325000,-90.000000,T
R12,122.230000,-88.720000,-90.000000,T
R13,124.310000,-85.100000,90.000000,T
R14,87.255000,-73.810000,0.000000,T
R15,84.760000,-79.720000,180.000000,T
R16,126.030000,-85.100000,-90.000000,T
R17,124.650000,-58.075000,90.000000,T
R18,126.270000,-58.085000,-90.000000,T
R19,92.170000,-75.890000,0.000000,T
R20,109.727500,-102.891250,0.000000,T
R21,114.680000,-103.010000,180.000000,T
R22,91.730000,-58.015000,90.000000,T
R25,93.030000,-37.080000,0.000000,T
R26,89.102500,-47.560000,-90.000000,T
R27,93.010000,-35.500000,180.000000,T
R28,85.570000,-85.300000,0.000000,T
R29,88.610000,-85.280000,180.000000,T
R30,81.090000,-87.160000,180.000000,T
R31,84.450000,-87.160000,0.000000,T
U2,90.795000,-64.330000,-90,T
U4,95.475000,-97.435,90,T
U5,90.280000,-80.5675,180,T
