"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1, C2, C12, C13";"C0805";4;"10uF";;;
2;"C3, C4";"C1206";2;"100nF C0G";;;
3;"C5, C7, C9, C11, C16, C17";"C0603";6;"100nF";;;
4;"C6, C8";"C_0603_1608Metric";2;"20pF";;;
5;"C10";"C0603";1;"4.7uF";;;
6;"C14, C15";"C1206";2;"10uF";;;
7;"CT1, CT2";"C0603";2;"C1608C0G1H103JT000N";;;
8;"D1, D2";"SMA_L4.4-W2.6-LS5.0-BI";2;"SMAJ30CA_C10755";;;
9;"D4, D5";"SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR";2;"MMBZ33VALT1G";;;
10;"F7";"Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"BORN SMD1206-050/30N";;;
11;"Q1, Q2";"SOT-23-3_L2.9-W1.3-P0.95-LS2.4-BR";2;"XR6005";;;
12;"Q3";"SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR";1;"DMP510DL-7";;;
13;"Q5";"SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR";1;"FDN5618P";;;
14;"R1, R2, R3, R4, R7, R8, R9, R10";"R1206";8;"1.00M";;;
15;"R5, R14, R15, R20, R23, R26, R31, R32";"R0603";8;"10k";;;
16;"R6, R11";"R0603";2;"80.6k";;;
17;"R12, R13";"R0603";2;"4.7k";;;
18;"R16, R21";"R0603";2;"21.0k";;;
19;"R17, R22, R27";"R0603";3;"47";;;
20;"R18, R30";"R0805";2;"10k";;;
21;"R19, R29";"R0805";2;"33k";;;
22;"R24, R25";"R0603";2;"1k";;;
23;"R28, R33";"R0603";2;"0603WAF4700T5E";;;
24;"RL1, RL2";"R0603";2;"100k";;;
25;"RS1, RS2";"R0603";2;"17.8k";;;
26;"RT1, RT2";"R0603";2;"0603WAF6801T5E";;;
27;"U1, U4";"SOP-6_L8.5-W6.4-P2.54-LS9.2-BL";2;"H11L1";;;
28;"U2, U5";"DIP-8_L9.8-W6.6-P2.54-LS7.6-BL";2;"LM331N";;;
29;"U3";"SOT-223-3_L6.7-W3.7-P2.30-LS7.0-BR";1;"MIC5239-3.3YS";;;
30;"U6, U8";"NCS3S1205SC_MUR";2;"NCS3S1212SC";;;
31;"U7";"TSSOP-20_4.4x6.5mm_P0.65mm";1;"STM32C011F6P6";;;
32;"X1";"OSCCC500X320X135";1;"X50328MSB2GI";;;
33;"ZD6";"SOD-123_L2.8-W1.8-LS3.7-RD";1;"BZT52C15_C2104";;;
